param,value,train_acc,test_acc
C,0.3,0.8111111111111111,0.8333333333333334
C,1.0,0.8111111111111111,0.8333333333333334
C,10.0,0.8333333333333334,0.8333333333333334
C,1000.0,0.8444444444444444,0.8
gamma,0.1,0.7555555555555555,0.8
gamma,1.0,0.8111111111111111,0.8333333333333334
gamma,10.0,0.8333333333333334,0.7833333333333333
gamma,100.0,0.9666666666666667,0.6166666666666667
