param,value,train_acc,test_acc
degree,1.0,0.7888888888888889,0.8166666666666667
degree,2.0,0.7777777777777778,0.8333333333333334
degree,5.0,0.8,0.7833333333333333
degree,10.0,0.8222222222222222,0.7833333333333333
C,0.1,0.7777777777777778,0.8166666666666667
C,0.5,0.7777777777777778,0.8333333333333334
C,10.0,0.7888888888888889,0.8333333333333334
C,1000.0,0.8,0.8333333333333334
