C,cv_score
1,0.5364398645760791
2,0.5483042349306739
3,0.5522894902843296
4,0.5542732352006524
5,0.555415087512771
6,0.5557169260241918
7,0.5561601195001146
8,0.5563017808942712
9,0.5561457805057163
10,0.5558921393945078
11,0.5557965781104084
12,0.5556589313062751
13,0.5557075350232047
14,0.5557646309550421
15,0.5559460957994664
16,0.5559896968511826
17,0.5559356608709541
18,0.5557741302268149
19,0.5556628022089001
20,0.5554387920069103
21,0.555206094409584
22,0.5550233042934574
23,0.5548116726335268
24,0.5546175593593783
25,0.5544421474500101
26,0.5542113050454827
27,0.5539905484407069
28,0.5537912450813965
29,0.5535921645443531
30,0.5533720066517331
31,0.5532038728369308
32,0.553040554261438
33,0.552846592048993
34,0.5526839665124591
35,0.5525874774040316
36,0.5525668792797453
37,0.5525530052289246
38,0.5525121289742871
39,0.5524481688641746
40,0.5523696624371042
41,0.5522804604100365
42,0.5522111880277004
43,0.5520575630577916
44,0.5519077840004031
45,0.5517392079661582
46,0.5515988085839123
47,0.5514649693450855
48,0.5513356016727713
49,0.551175518301763
50,0.5510441106686538
