kernel,stage,MAE,MSE,RMSE,MAPE,R2,C,gamma
linear,default,1.561906065394344,5.0893015765823115,2.2559480438570194,0.14971751384281168,0.52986578965543,,
poly,default,1.560684682538481,5.487295759533733,2.342497760838574,0.14571744736560413,0.49310029676647227,,
rbf,default,1.5210426514420143,5.009532700413293,2.2381985390964076,0.14410705567712517,0.5372345959726575,,
rbf,tuned_separate,1.5625482387379928,5.372677249289958,2.317903632442462,0.1505226288783824,0.5036884063515432,8.0,1.0
rbf,tuned_nested,1.5625482387379928,5.372677249289958,2.317903632442462,0.1505226288783824,0.5036884063515432,8.0,1.0
rbf,notebook_ref,1.7395553329399613,6.249423962832202,2.4998847899117673,0.17080534586680673,0.4226972098895363,19.0,3.1622776601683795
