dataset,model,repeat,R2,MSE,MAE,RMSE,alpha,n_selected
y1_no_noise,OLS,4,1.0,4.416799339128061e-32,1.295260195396016e-16,2.101618266747808e-16,,
y1_no_noise,Ridge,4,0.9999999996790389,1.1428346923583262e-10,9.770909198625333e-06,1.069034467338788e-05,0.001,
y1_no_noise,Lasso,4,0.9999999200931087,2.84521613792777e-08,0.00013453319001545394,0.00016867768488830316,0.0001,2.0
y1_no_noise,LARS,4,1.0,2.8760553836182724e-32,1.0177044392397268e-16,1.6958936828758672e-16,0.0,2.0
y1_no_noise,OLS,5,1.0,1.011755197451428e-31,2.7292982688701767e-16,3.18080995573679e-16,,
y1_no_noise,Ridge,5,0.999999999658524,1.3337883550768405e-10,1.0139291244405194e-05,1.1548975517667532e-05,0.001,
y1_no_noise,Lasso,5,0.9999999214272451,3.0690130584396724e-08,0.0001446528533985645,0.0001751859885504452,0.0001,2.0
y1_no_noise,LARS,5,1.0,4.673589998379692e-32,1.4340380734741606e-16,2.161848745490695e-16,0.0,2.0
y1_no_noise,OLS,6,1.0,1.3866695599588098e-31,2.6830389761774615e-16,3.7238012298709097e-16,,
y1_no_noise,Ridge,6,0.9999999996692903,9.491916150446861e-11,8.250488017956062e-06,9.742646534924103e-06,0.001,
y1_no_noise,Lasso,6,0.9999999264497443,2.1110145158456113e-08,0.00011231316180202826,0.0001452933073422727,0.0001,2.0
y1_no_noise,LARS,6,1.0,2.2083996695640305e-32,6.938893903907228e-17,1.4860685278828935e-16,0.0,2.0
y1_no_noise,OLS,7,1.0,4.3654412072777344e-32,1.249000902703301e-16,2.089363828364446e-16,,
y1_no_noise,Ridge,7,0.99999999968861,8.43274834188672e-11,8.129903081762388e-06,9.182999696116036e-06,0.001,
y1_no_noise,Lasso,7,0.9999999354846327,1.7471394031128197e-08,0.00010752138198197776,0.00013217940093345935,0.0001,2.0
y1_no_noise,LARS,7,1.0,5.598036371685566e-32,1.7115938296304497e-16,2.3660169846570343e-16,0.0,2.0
y1_no_noise,OLS,8,1.0,2.619264724366641e-32,8.789265611615822e-17,1.6184142622847344e-16,,
y1_no_noise,Ridge,8,0.9999999996232083,1.3810588278332946e-10,1.027016657036602e-05,1.1751845930888026e-05,0.001,
y1_no_noise,Lasso,8,0.9999998938294687,3.891479881627676e-08,0.00016527913965804866,0.00019726834215422594,0.0001,2.0
y1_no_noise,LARS,8,1.0,8.628166150854817e-32,2.220446049250313e-16,2.9373740229761033e-16,0.0,2.0
y1_no_noise,OLS,9,1.0,1.0322984501915584e-31,2.0816681711721685e-16,3.212940164695817e-16,,
y1_no_noise,Ridge,9,0.9999999996453771,8.23237131374501e-11,7.4747898734933704e-06,9.073241600301962e-06,0.001,
y1_no_noise,Lasso,9,0.9999999023139499,2.267727109731011e-08,0.00011963851130670129,0.00015058974432978533,0.0001,2.0
