,Accuracy,Precision,Recall,F1,AUC,AP
DecisionTree,0.8471001757469244,0.8133971291866029,0.7798165137614679,0.7962529274004685,0.9046302830706501,0.8643138928578511
LogisticRegression,0.8383128295254832,0.828125,0.7293577981651376,0.7756097560975609,0.8808842363888236,0.8601881404771579
AdaBoost,0.8383128295254832,0.7889908256880734,0.7889908256880734,0.7889908256880734,0.9016309887869521,0.8830748927311582
RandomForest,0.8506151142355008,0.8518518518518519,0.7385321100917431,0.791154791154791,0.922828615489166,0.9042188730435745
GBDT,0.8418277680140598,0.8333333333333334,0.7339449541284404,0.7804878048780488,0.9004025196685748,0.8792587911351945
XGBoost,0.8646748681898067,0.8578680203045685,0.7752293577981652,0.8144578313253011,0.9250829870095926,0.9085346510870921
