,roc_auc,f1,precision,recall,accuracy
DecisionTree,0.8277955683360203,0.7296615783298271,0.7260722610722611,0.7385835095137421,0.7890700201832013
LogisticRegression,0.8587835363130154,0.7566641360461586,0.8146376811594204,0.7161733615221987,0.8242353671790095
AdaBoost,0.8629947975378698,0.7480062013535035,0.7762302540418042,0.7299154334038056,0.8119080888060859
RandomForest,0.8589610176917744,0.750840234629319,0.8129547807265199,0.7070824524312896,0.8207265952491849
GBDT,0.870155627209345,0.7613969220117984,0.8104284261378083,0.7252642706131078,0.8259897531439219
XGBoost,0.8700616383289164,0.735124831327363,0.7851459514225472,0.7027484143763214,0.8084614190343113
