n_estimators,AdaBoost_test_R2,RF_test_R2,DT_test_R2
1,0.7643147015502298,0.684274663933329,0.7383839576951321
5,0.8809315863855253,0.7969298017832229,0.7383839576951321
10,0.8841005003735934,0.8768429479592685,0.7383839576951321
20,0.8881966157851121,0.9017488814161095,0.7383839576951321
40,0.9022610903899932,0.8973363416377282,0.7383839576951321
80,0.9118082288277418,0.8969952719133407,0.7383839576951321
120,0.9138339941886733,0.8870105477829371,0.7383839576951321
200,0.9153140266282738,0.8839525117021145,0.7383839576951321
