model,Accuracy,Precision,Recall,F1,Precision_macro,Recall_macro,F1_macro,AUC
AdaBoost-DT,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.98,0.9642857142857143,0.9712773998488284,0.9914021164021163
RandomForest,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9736842105263157,0.9523809523809523,0.9614864864864865,0.9943783068783069
Lars(阈值0.5),0.5526315789473685,0.41509433962264153,0.5238095238095238,0.4631578947368421,0.5436127435818126,0.5466269841269842,0.5398496240601504,0.560515873015873
