base_learner,best_params,cv_AUC,search_seconds,test_Accuracy,test_Precision,test_Recall,test_F1,test_Precision_macro,test_Recall_macro,test_F1_macro,test_AUC,train_Accuracy,train_Precision,train_Recall,train_F1,train_Precision_macro,train_Recall_macro,train_F1_macro,train_AUC
决策树,"{'estimator__max_depth': 3, 'learning_rate': 0.5, 'n_estimators': 200}",0.9941176470588236,155.9607491493225,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.98,0.9642857142857143,0.9712773998488284,0.9914021164021163,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
逻辑回归,"{'estimator__C': 10.0, 'learning_rate': 0.5, 'n_estimators': 40}",0.9958204334365325,26.4030601978302,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.9672297297297296,0.9573412698412699,0.9619111259605746,0.9933862433862434,0.9802197802197802,0.9763313609467456,0.9705882352941176,0.9734513274336283,0.979424421732114,0.9782765737874097,0.9788447530338018,0.9993601651186791
SVM,"{'estimator__C': 1.0, 'learning_rate': 0.5, 'n_estimators': 20}",0.9945820433436532,17.06836462020874,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9864864864864865,0.9761904761904762,0.9809555629802873,0.994047619047619,0.9846153846153847,0.9822485207100592,0.9764705882352941,0.9793510324483776,0.9841312533620226,0.9829721362229102,0.9835459190262904,0.998813209494324
