param_estimator__C,param_learning_rate,param_n_estimators,mean_test_score,std_test_score,rank_test_score
1.0,0.5,20,0.9945820433436532,0.004746040159986342,1
1.0,0.5,30,0.9941176470588236,0.005429983212002597,2
10.0,0.5,30,0.9939112487100102,0.0066912549339307814,3
10.0,0.5,20,0.9936532507739937,0.006356600038982238,4
10.0,1.0,30,0.993498452012384,0.007685394328962141,5
10.0,0.5,10,0.9934468524251807,0.006297686812133051,6
1.0,0.5,10,0.993343653250774,0.006946615388047975,7
0.1,0.1,30,0.9919504643962849,0.006117108756045853,8
10.0,1.0,10,0.9915892672858618,0.009364436612611497,9
10.0,1.0,20,0.9915376676986585,0.011260538558888955,10
0.1,0.1,20,0.9894736842105264,0.008596249641974385,11
1.0,0.1,20,0.9893704850361198,0.011944384971087914,12
1.0,0.1,30,0.9892156862745098,0.012326146716958582,13
1.0,1.0,30,0.9887512899896802,0.003136983313430503,14
1.0,1.0,20,0.9886480908152736,0.0030087471077633373,15
1.0,1.0,10,0.9869969040247678,0.006603134478037736,16
10.0,0.1,20,0.9868421052631579,0.01705910759010996,17
10.0,0.1,30,0.9866873065015479,0.01700564582336274,18
1.0,0.1,10,0.9813209494324046,0.017037711759607607,19
10.0,0.1,10,0.9782765737874097,0.020080395540368074,20
0.1,0.5,30,0.9779153766769865,0.014588728212237188,21
0.1,0.5,20,0.9712590299277606,0.01656145804064868,22
0.1,0.5,10,0.9647574819401445,0.013270828003960943,23
0.1,1.0,20,0.9556243550051601,0.036102384167839945,24
0.1,1.0,30,0.9556243550051601,0.036102384167839945,24
0.1,1.0,10,0.9500515995872034,0.030545299511629074,26
0.1,0.1,10,0.9362229102167182,0.018036546951863124,27
