model,train_R2,train_MSE,train_RMSE,train_MAE,test_R2,test_MSE,test_RMSE,test_MAE,overfit_gap_R2
决策树,0.8453462574629087,13.435297029702971,3.6654190796828363,1.9556930693069308,0.7383839576951321,19.185294117647057,4.380102067035317,2.7774509803921568,0.1069622997677766
AdaBoost,0.993738235503599,0.5439807958027257,0.7375505377956996,0.49101613717506987,0.8974496137583866,7.520407787649845,2.7423361915800633,2.0270934529416063,0.09628862174521235
随机森林,0.9809503548202353,1.6549075185762527,1.2864320885986376,0.8547299717367245,0.8873508655142006,8.26098720157967,2.8741933131888797,1.9688877261512845,0.09359948930603468
