param,value,train_R2,train_MSE,train_RMSE,train_MAE,test_R2,test_MSE,test_RMSE,test_MAE
n_estimators,10,0.9725692228781466,2.383004978358618,1.5436984739121231,1.0302038395235562,0.8662972633964447,9.804927494026897,3.1312820847101746,2.088862797882374
n_estimators,20,0.9791540440057693,1.8109591533708644,1.3457188240382403,0.9184507079415155,0.8748298152530705,9.179203186368898,3.029719984811946,2.0654290590969366
n_estimators,40,0.9802321238920655,1.7173026840444683,1.310458959313289,0.8734260876839137,0.8904063646459998,8.036915890801758,2.8349454828623704,1.946990234119913
n_estimators,80,0.9805841851244327,1.6867179264311007,1.2987370505345186,0.8650554176155074,0.8887043073327305,8.161734192739488,2.856874899735634,1.961429491626299
n_estimators,120,0.980684986424564,1.6779609743779047,1.2953613296597613,0.8588724919047442,0.8869968608497242,8.286947702882129,2.878705907674858,1.9741348006246533
n_estimators,160,0.9806476644996875,1.6812032570295254,1.2966122230757835,0.8589708041262989,0.8876482876676336,8.239176109872743,2.870396507431115,1.961793362372551
n_estimators,220,0.9810663795210733,1.6448280578857504,1.2825085020715263,0.8535054827910051,0.8887041902065304,8.161742782046849,2.856876403005011,1.9707746393726953
n_estimators,300,0.9812708984066281,1.6270608061494913,1.2755629369613604,0.8439363588889255,0.8820592388377368,8.649042204836846,2.940925399400135,2.0122079457216873
