param_estimator__C,param_learning_rate,param_n_estimators,mean_test_score,std_test_score,rank_test_score
10.0,0.5,120,0.9958204334365325,0.0036427992971563633,1
10.0,0.5,40,0.9958204334365325,0.0036427992971563633,1
10.0,0.5,80,0.9958204334365325,0.0036427992971563633,1
0.1,0.1,120,0.9953044375644996,0.005700294934836505,4
0.1,0.1,80,0.9951496388028896,0.005230172441037599,5
1.0,0.5,40,0.9950980392156863,0.005134094102717332,6
1.0,0.5,120,0.9950980392156863,0.005134094102717332,6
1.0,0.5,80,0.9950980392156863,0.005134094102717332,6
0.1,0.5,120,0.994014447884417,0.006231384577688554,9
1.0,1.0,40,0.9940144478844168,0.006779800910487872,10
10.0,1.0,40,0.9939112487100104,0.006126242344543144,11
10.0,1.0,80,0.9939112487100104,0.006126242344543144,11
10.0,1.0,120,0.9939112487100104,0.006126242344543144,11
0.1,0.5,80,0.9938080495356036,0.006599907927892433,14
1.0,1.0,80,0.9933952528379774,0.007821380937666237,15
1.0,1.0,120,0.9933952528379774,0.007821380937666237,15
0.1,0.5,40,0.9931888544891642,0.007124854857458026,17
0.1,0.1,40,0.9927244582043343,0.007395860832680651,18
1.0,0.1,80,0.9922084623323013,0.008304808891116894,19
1.0,0.1,120,0.9920020639834881,0.008765857182902766,20
10.0,0.1,80,0.9913828689370485,0.011283214611844478,21
10.0,0.1,120,0.9910216718266254,0.01107457455132824,22
0.1,1.0,80,0.9909184726522188,0.007145005851571778,23
0.1,1.0,120,0.9909184726522188,0.007145005851571778,23
0.1,1.0,40,0.9908152734778122,0.007053495596370196,25
10.0,0.1,40,0.9898348813209494,0.011952407020777055,26
1.0,0.1,40,0.9896284829721361,0.012013288189553838,27
